gene_symbol,MCI,Adj_MCI,MCI_tier,GTEx_low_confidence_flag
MYH6,0.968060359673416,1.1843594468897292,HIGH,True
TNNI3,0.9617210925247786,1.050513268377105,HIGH,True
GLA,0.9600291718029872,1.185175064753784,HIGH,True
ACTN2,0.9347924185794564,1.0002384823478871,HIGH,True
TMEM43,0.9294960052251762,1.213745096319404,HIGH,True
TINF2,0.9040539606172328,1.199507154573321,HIGH,True
KCNH2,0.8813520672732007,1.1280394250871606,HIGH,True
BAG3,0.8281811808437982,0.9765728481841062,HIGH,True
TRIM63,0.8197933145443262,0.8320117341291485,HIGH,True
RBM20,0.8035740008093487,1.0794343248820968,HIGH,True
